Country,Continent,Region,Landlocked,Is_island,Which_ocean,Number_of_land_borders,Largest_biome,Has_desert,Has_rainforest,Has_mountains,Average_altitude_band,Volcanic_activity,Climate_zone,Average_temperature_band,Has_tropical_region,Has_arctic_region,Monsoon_season,Average_rainfall_band,Population_band,Population_density_band,Official_language_family,Number_of_official_languages,Dominant_religion,Urbanisation_rate_band,Median_age_band,Gdp_per_capita_band,Primary_industry,Major_export_category,Currency_type,Government_type,Un_member,Nato_member,Commonwealth_member,Eu_member,Gained_independence_after_1900,Drives_on_left,Metric_system,Colonial_history
Oman,Asia,Western Asia,No,No,Indian,3,desert,Yes,No,Yes,Lowland (< 200m),No,Arid,Hot (> 25 C),No,No,Yes,Arid (< 250 mm),Small (1M-10M),Sparse (25-100),Afro-Asiatic,1,Islam,Urban-leaning (70-85%),Middle (25-35),"High ($15,000-$40,000)",oil & gas,oil & gas,own pegged currency (other),absolute monarchy,Yes,No,Yes,No,Yes,No,Yes,Yes
Pakistan,Asia,Southern Asia,No,No,Indian,4,desert,Yes,No,Yes,Moderate (500-1000m),No,Arid,Warm (20-25 C),Yes,No,Yes,Arid (< 250 mm),Mega (> 200M),Dense (300-1000),Indo-European,1,Islam,Urban-leaning (70-85%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own free-floating currency,federal parliamentary republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Palau,Oceania,Micronesia,No,Yes,Pacific,0,tropical rainforest,No,Yes,No,Lowland (mean elevation < 200m),No,Tropical,Hot (> 25 C),Yes,No,No,Very wet (> 2000 mm),Micro (< 1M),Sparse (25-100),Austronesian,2,Christianity,Highly urban (> 85%),Older (35-42),"High ($15,000-$40,000)",tourism,services,US Dollar (official use),presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Palestine,Asia,Western Asia,No,No,Atlantic,2,mediterranean shrubland,No,No,Yes,Lowland (< 200m),No,Mediterranean,Warm (20-25 C),No,No,No,Moderate (500-1000 mm),Small (1M-10M),Dense (300-1000),Afro-Asiatic,1,Islam,Urban-leaning (70-85%),Young (20-25),"Lower-middle ($1,000-$4,000)",services,services,own pegged currency (other),transitional/provisional government,No,No,No,No,Yes,No,Yes,Yes
Panama,North America,Central America,No,No,Pacific,2,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),Yes,Tropical,Hot (> 25 C),Yes,No,No,Very wet (> 2000 mm),Small (1M-10M),Sparse (25-100),Indo-European,1,Christianity,Urban-leaning (70-85%),Middle (25-35),"High ($15,000-$40,000)",services,services,US Dollar (official use),presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Papua New Guinea,Oceania,Melanesia,No,Yes,Pacific,1,tropical rainforest,No,Yes,Yes,Moderate (500-1000m),Yes,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Medium (10M-50M),Very sparse (< 25),Austronesian,4,Christianity,Mostly rural (< 30%),Young (20-25),"Lower-middle ($1,000-$4,000)",mining/extractives,oil & gas,own free-floating currency,constitutional monarchy,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Paraguay,South America,South America,Yes,No,None,3,savanna,No,Yes,No,Low-to-moderate (200-500m),No,Tropical,Warm (20-25 C),Yes,No,No,Moderate (500-1000 mm),Small (1M-10M),Very sparse (< 25),Indo-European,2,Christianity,Mixed (50-70%),Middle (25-35),"Upper-middle ($4,000-$15,000)",agriculture,agricultural products,own free-floating currency,presidential republic,Yes,No,No,No,No,No,Yes,Yes
Peru,South America,South America,No,No,Pacific,5,tropical rainforest,Yes,Yes,Yes,Moderate (500-1000m),Yes,Highland,Warm (20-25 C),Yes,No,No,Moderate (500-1000 mm),Medium (10M-50M),Sparse (25-100),Indo-European,3,Christianity,Highly urban (> 85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",mining/extractives,minerals,own free-floating currency,presidential republic,Yes,No,No,No,No,No,Yes,Yes
Philippines,Asia,Southeast Asia,No,Yes,Pacific,0,tropical rainforest,No,Yes,Yes,Moderate (500-1000m),Yes,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Large (50M-200M),Dense (300-1000),Austronesian,2,Christianity,Mixed (50-70%),Young (20-25),"Lower-middle ($1,000-$4,000)",services,electronics,own free-floating currency,presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Poland,Europe,Eastern Europe,No,No,Atlantic,7,temperate forest,No,No,Yes,Low-to-moderate (200-500m),No,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Medium (10M-50M),Moderate (100-300),Indo-European,1,Christianity,Mixed (50-70%),Aged (> 42),"High ($15,000-$40,000)",manufacturing,machinery,own free-floating currency,parliamentary republic,Yes,Yes,No,Yes,Yes,No,Yes,No
Portugal,Europe,Southern Europe,No,No,Atlantic,1,mediterranean shrubland,No,No,Yes,Low-to-moderate (200-500m),Yes,Mediterranean,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Medium (10M-50M),Moderate (100-300),Indo-European,2,Christianity,Urban-leaning (70-85%),Aged (> 42),"High ($15,000-$40,000)",services,machinery,Euro,semi-presidential republic,Yes,Yes,No,Yes,No,No,Yes,Yes
Qatar,Asia,Western Asia,No,No,Indian,1,desert,Yes,No,No,Lowland (< 200m),No,Arid,Hot (> 25 C),No,No,No,Arid (< 250 mm),Small (1M-10M),Very dense (> 1000),Afro-Asiatic,1,Islam,Highly urban (> 85%),Middle (25-35),"Very high (> $40,000)",oil & gas,oil & gas,own pegged currency (other),absolute monarchy,Yes,No,No,No,Yes,No,Yes,Yes
Romania,Europe,Eastern Europe,No,No,Atlantic,5,temperate forest,No,No,Yes,Low-to-moderate (200-500m),No,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Medium (10M-50M),Sparse (25-100),Indo-European,1,Christianity,Mixed (50-70%),Aged (> 42),"High ($15,000-$40,000)",services,machinery,own free-floating currency,semi-presidential republic,Yes,Yes,No,Yes,No,No,Yes,No
Russia,Europe,Eastern Europe,No,No,Arctic,14,boreal forest,No,No,Yes,Low-to-moderate (200-500m),Yes,Polar,Very cold (< 0 C),No,Yes,No,Semi-arid (250-500 mm),Large (50M-200M),Very sparse (< 25),Indo-European,1,Christianity,Urban-leaning (70-85%),Aged (> 42),"High ($15,000-$40,000)",oil & gas,oil & gas,own free-floating currency,semi-presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Rwanda,Africa,Eastern Africa,Yes,No,None,4,savanna,No,No,Yes,Moderate (500-1000m),Yes,Tropical,Warm (20-25 C),Yes,No,Yes,Moderate (500-1000 mm),Small (1M-10M),Very dense (> 1000),Niger-Congo,1,Christianity,Mostly rural (< 30%),Young (20-25),"Low income (< $1,000)",agriculture,agricultural products,own free-floating currency,presidential republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Saint Kitts and Nevis,North America,Caribbean,No,Yes,Atlantic,0,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),Yes,Tropical,Hot (> 25 C),Yes,No,No,Wet (1000-2000 mm),Micro (< 1M),Moderate (100-300),Indo-European,1,Christianity,Mixed (50-70%),Older (35-42),"High ($15,000-$40,000)",tourism,services,Eastern Caribbean Dollar (ECCU),constitutional monarchy,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Saint Lucia,North America,Caribbean,No,Yes,Atlantic,0,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),Yes,Tropical,Hot (> 25 C),Yes,No,No,Very wet (> 2000 mm),Micro (< 1M),Moderate (100-300),Indo-European,1,Christianity,Rural-leaning (30-50%),Older (35-42),"High ($15,000-$40,000)",tourism,services,Eastern Caribbean Dollar (ECCU),constitutional monarchy,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Saint Vincent and the Grenadines,North America,Caribbean,No,Yes,Atlantic,0,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),Yes,Tropical,Hot (> 25 C),Yes,No,No,Very wet (> 2000 mm),Micro (< 1M),Moderate (100-300),Indo-European,1,Christianity,Mixed (50-70%),Older (35-42),"Upper-middle ($4,000-$15,000)",services,agricultural products,Eastern Caribbean Dollar (ECCU),constitutional monarchy,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Samoa,Oceania,Polynesia,No,Yes,Pacific,0,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),Yes,Tropical,Hot (> 25 C),Yes,No,No,Very wet (> 2000 mm),Micro (< 1M),Sparse (25-100),Austronesian,2,Christianity,Mostly rural (< 30%),Middle (25-35),"Upper-middle ($4,000-$15,000)",services,agricultural products,own pegged currency (other),parliamentary republic,Yes,No,Yes,No,Yes,Yes,Yes,Yes
San Marino,Europe,Southern Europe,Yes,No,None,1,temperate forest,No,No,Yes,Moderate (500-1000m),No,Mediterranean,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Micro (< 1M),Dense (300-1000),Indo-European,1,Christianity,Highly urban (> 85%),Aged (> 42),"Very high (> $40,000)",services,machinery,Euro,parliamentary republic,Yes,No,No,No,No,No,Yes,No
Sao Tome and Principe,Africa,Middle Africa,No,Yes,Atlantic,0,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),Yes,Tropical,Warm (20-25 C),Yes,No,No,Very wet (> 2000 mm),Micro (< 1M),Moderate (100-300),Indo-European,1,Christianity,Urban-leaning (70-85%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,pegged to Euro,semi-presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Saudi Arabia,Asia,Western Asia,No,No,Indian,7,desert,Yes,No,Yes,Lowland (< 200m),No,Arid,Hot (> 25 C),No,No,No,Arid (< 250 mm),Large (50M-200M),Sparse (25-100),Afro-Asiatic,1,Islam,Urban-leaning (70-85%),Young (20-25),"High ($15,000-$40,000)",oil & gas,oil & gas,own pegged currency (other),absolute monarchy,Yes,No,No,No,Yes,No,Yes,Yes
Senegal,Africa,Western Africa,No,No,Atlantic,5,savanna,No,No,No,Lowland (< 200m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Moderate (500-1000 mm),Medium (10M-50M),Moderate (100-300),Niger-Congo,1,Islam,Mixed (50-70%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,CFA Franc West,presidential republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Serbia,Europe,Southern Europe,Yes,No,None,8,temperate forest,No,No,Yes,Moderate (500-1000m),No,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Small (1M-10M),Sparse (25-100),Indo-European,1,Christianity,Mixed (50-70%),Aged (> 42),"Upper-middle ($4,000-$15,000)",services,machinery,own free-floating currency,parliamentary republic,Yes,No,No,No,Yes,No,Yes,No
Seychelles,Africa,Eastern Africa,No,Yes,Indian,0,tropical rainforest,No,Yes,Yes,Lowland (< 200m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Micro (< 1M),Moderate (100-300),Indo-European,3,Christianity,Highly urban (> 85%),Middle (25-35),"High ($15,000-$40,000)",tourism,services,own free-floating currency,presidential republic,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Sierra Leone,Africa,Western Africa,No,No,Atlantic,2,tropical rainforest,No,Yes,Yes,Lowland (< 200m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Small (1M-10M),Moderate (100-300),Niger-Congo,1,Islam,Mostly rural (< 30%),Young (20-25),"Low income (< $1,000)",mining/extractives,minerals,own free-floating currency,presidential republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Singapore,Asia,Southeast Asia,No,Yes,Pacific,0,tropical rainforest,No,Yes,No,Lowland (< 200m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Micro (< 1M),Very dense (> 1000),Sino-Tibetan,4,Buddhism,Highly urban (> 85%),Middle (25-35),"Very high (> $40,000)",finance,services,own free-floating currency,parliamentary republic,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Slovakia,Europe,Eastern Europe,Yes,No,None,5,temperate forest,No,No,Yes,Moderate (500-1000m),No,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Small (1M-10M),Moderate (100-300),Indo-European,1,Christianity,Mixed (50-70%),Aged (> 42),"High ($15,000-$40,000)",manufacturing,vehicles,Euro,parliamentary republic,Yes,Yes,No,Yes,Yes,No,Yes,No
Slovenia,Europe,Southern Europe,No,No,Atlantic,4,temperate forest,No,No,Yes,Moderate (500-1000m),No,Temperate,Mild (10-20 C),No,No,No,Wet (1000-2000 mm),Small (1M-10M),Moderate (100-300),Indo-European,1,Christianity,Mixed (50-70%),Aged (> 42),"High ($15,000-$40,000)",services,machinery,Euro,parliamentary republic,Yes,Yes,No,Yes,Yes,No,Yes,No
Solomon Islands,Oceania,Melanesia,No,Yes,Pacific,0,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),Yes,Tropical,Hot (> 25 C),Yes,No,No,Very wet (> 2000 mm),Micro (< 1M),Very sparse (< 25),Indo-European,1,Christianity,Mostly rural (< 30%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own pegged currency (other),constitutional monarchy,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Somalia,Africa,Eastern Africa,No,No,Indian,3,desert,Yes,No,No,Lowland (< 200m),No,Arid,Hot (> 25 C),No,No,Yes,Arid (< 250 mm),Small (1M-10M),Sparse (25-100),Afro-Asiatic,2,Islam,Mostly rural (< 30%),Young (20-25),"Low income (< $1,000)",agriculture,agricultural products,own free-floating currency,transitional/provisional government,Yes,No,No,No,Yes,No,Yes,Yes
South Africa,Africa,Southern Africa,No,No,Atlantic,6,savanna,No,Yes,Yes,Moderate (500-1000m),No,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Medium (10M-50M),Moderate (100-300),Niger-Congo,11,Christianity,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",mining/extractives,minerals,own free-floating currency,parliamentary republic,Yes,No,Yes,No,Yes,No,Yes,Yes
South Korea,Asia,Eastern Asia,No,No,Pacific,1,temperate forest,No,Yes,Yes,Moderate (500-1000m),Yes,Temperate,Mild (10-20 C),No,No,Yes,Moderate (500-1000 mm),Large (50M-200M),Very dense (> 1000),Koreanic,1,Non-religious,Highly urban (> 85%),Middle (25-35),"High ($15,000-$40,000)",manufacturing,electronics,own free-floating currency,presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
South Sudan,Africa,Eastern Africa,Yes,No,None,6,savanna,No,Yes,No,Moderate (500-1000m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Wet (1000-2000 mm),Medium (10M-50M),Sparse (25-100),Niger-Congo,1,Christianity,Mostly rural (< 30%),Young (20-25),"Low income (< $1,000)",oil & gas,oil & gas,own free-floating currency,presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Spain,Europe,Southern Europe,No,No,Atlantic,5,mediterranean shrubland,Yes,No,Yes,Moderate (500-1000m),Yes,Mediterranean,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Large (50M-200M),Moderate (100-300),Indo-European,1,Christianity,Highly urban (> 85%),Aged (> 42),"High ($15,000-$40,000)",services,machinery,Euro,constitutional monarchy,Yes,Yes,No,Yes,No,No,Yes,Yes
Sri Lanka,Asia,Southern Asia,No,Yes,Indian,0,tropical rainforest,No,Yes,Yes,Lowland (< 200m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Medium (10M-50M),Dense (300-1000),Indo-European,2,Buddhism,Urban-leaning (70-85%),Middle (25-35),"Lower-middle ($1,000-$4,000)",services,services,own free-floating currency,semi-presidential republic,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Sudan,Africa,Northern Africa,No,No,Indian,7,desert,Yes,No,Yes,Moderate (500-1000m),Yes,Arid,Hot (> 25 C),Yes,No,No,Arid (< 250 mm),Medium (10M-50M),Very sparse (< 25),Afro-Asiatic,2,Islam,Rural-leaning (30-50%),Very young (< 20),"Low income (< $1,000)",agriculture,agricultural products,own free-floating currency,military junta,Yes,No,No,No,Yes,No,Yes,Yes
Suriname,South America,South America,No,No,Atlantic,3,tropical rainforest,No,Yes,Yes,Lowland (mean elevation < 200m),No,Tropical,Hot (> 25 C),Yes,No,No,Very wet (> 2000 mm),Micro (< 1M),Very sparse (< 25),Indo-European,1,Christianity,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",mining/extractives,minerals,own free-floating currency,presidential republic,Yes,No,No,No,Yes,Yes,Yes,Yes
Sweden,Europe,Northern Europe,No,No,Atlantic,2,boreal forest,No,No,Yes,Low-to-moderate (200-500m),No,Polar,Cold (0-10 C),No,Yes,No,Moderate (500-1000 mm),Medium (10M-50M),Very sparse (< 25),Indo-European,1,Christianity,Highly urban (> 85%),Aged (> 42),"Very high (> $40,000)",services,machinery,own free-floating currency,constitutional monarchy,Yes,Yes,No,Yes,No,No,Yes,Yes
Switzerland,Europe,Western Europe,Yes,No,None,5,mountain/alpine,No,No,Yes,High (1000-2000m),No,Highland,Cold (0-10 C),No,No,No,Wet (1000-2000 mm),Medium (10M-50M),Moderate (100-300),Indo-European,4,Christianity,Urban-leaning (70-85%),Aged (> 42),"Very high (> $40,000)",finance,machinery,own free-floating currency,parliamentary republic,Yes,No,No,No,No,No,Yes,No
Syria,Asia,Western Asia,No,No,Atlantic,5,desert,Yes,No,Yes,Moderate (500-1000m),No,Arid,Warm (20-25 C),No,No,No,Arid (< 250 mm),Medium (10M-50M),Moderate (100-300),Afro-Asiatic,1,Islam,Urban-leaning (70-85%),Young (20-25),"Low income (< $1,000)",agriculture,agricultural products,own pegged currency (other),presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Taiwan,Asia,Eastern Asia,No,Yes,Pacific,0,tropical rainforest,No,Yes,Yes,Moderate (500-1000m),Yes,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Medium (10M-50M),Very dense (> 1000),Sino-Tibetan,1,Buddhism,Highly urban (> 85%),Middle (25-35),"Very high (> $40,000)",manufacturing,electronics,own free-floating currency,presidential republic,No,No,No,No,Yes,Yes,Yes,Yes
Tajikistan,Asia,Central Asia,Yes,No,None,4,mountain/alpine,No,No,Yes,Very high (> 2000m),No,Highland,Cold (0-10 C),No,No,No,Moderate (500-1000 mm),Small (1M-10M),Sparse (25-100),Indo-European,1,Islam,Mostly rural (< 30%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own free-floating currency,presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Thailand,Asia,Southeast Asia,No,No,Pacific,4,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Large (50M-200M),Moderate (100-300),Kra-Dai,1,Buddhism,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",manufacturing,electronics,own free-floating currency,constitutional monarchy,Yes,No,No,No,Yes,No,Yes,Yes
Timor Leste,Asia,Southeast Asia,No,Yes,Pacific,1,tropical rainforest,No,Yes,Yes,Moderate (500-1000m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Micro (< 1M),Sparse (25-100),Austronesian,2,Christianity,Mostly rural (< 30%),Young (20-25),"Lower-middle ($1,000-$4,000)",oil & gas,oil & gas,own free-floating currency,semi-presidential republic,Yes,No,No,No,Yes,Yes,Yes,Yes
Togo,Africa,Western Africa,No,No,Atlantic,3,savanna,No,Yes,Yes,Moderate (500-1000m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Moderate (500-1000 mm),Small (1M-10M),Moderate (100-300),Niger-Congo,1,Christianity,Mostly rural (< 30%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own free-floating currency,presidential republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Tonga,Oceania,Polynesia,No,Yes,Pacific,0,tropical rainforest,No,Yes,Yes,Lowland (mean elevation < 200m),Yes,Tropical,Hot (> 25 C),Yes,No,No,Wet (1000-2000 mm),Micro (< 1M),Moderate (100-300),Austronesian,2,Christianity,Rural-leaning (30-50%),Middle (25-35),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own pegged currency (other),constitutional monarchy,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Trinidad and Tobago,North America,Caribbean,No,Yes,Atlantic,0,tropical rainforest,No,Yes,Yes,Lowland (mean elevation < 200m),No,Tropical,Hot (> 25 C),Yes,No,No,Wet (1000-2000 mm),Small (1M-10M),Moderate (100-300),Indo-European,1,Christianity,Mixed (50-70%),Older (35-42),"High ($15,000-$40,000)",oil & gas,oil & gas,own pegged currency (other),parliamentary republic,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Tunisia,Africa,Northern Africa,No,No,Atlantic,2,desert,Yes,No,Yes,Low-to-moderate (200-500m),No,Mediterranean,Warm (20-25 C),No,No,No,Semi-arid (250-500 mm),Medium (10M-50M),Sparse (25-100),Afro-Asiatic,1,Islam,Urban-leaning (70-85%),Middle (25-35),"Lower-middle ($1,000-$4,000)",services,textiles,own pegged currency (other),presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Turkey,Asia,Western Asia,No,No,Atlantic,8,mediterranean shrubland,No,Yes,Yes,Moderate (500-1000m),Yes,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Large (50M-200M),Moderate (100-300),Turkic,1,Islam,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",manufacturing,vehicles,own free-floating currency,presidential republic,Yes,Yes,No,No,Yes,No,Yes,Yes
Turkmenistan,Asia,Central Asia,Yes,No,None,5,desert,Yes,No,No,Lowland (< 200m),No,Arid,Hot (> 25 C),No,No,No,Arid (< 250 mm),Small (1M-10M),Sparse (25-100),Turkic,1,Islam,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",oil & gas,oil & gas,own pegged currency (other),presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Tuvalu,Oceania,Polynesia,No,Yes,Pacific,0,tropical rainforest,No,No,No,Lowland (mean elevation < 200m),No,Tropical,Hot (> 25 C),Yes,No,No,Very wet (> 2000 mm),Micro (< 1M),Dense (300-1000),Austronesian,2,Christianity,Mixed (50-70%),Middle (25-35),"Upper-middle ($4,000-$15,000)",fisheries,services,own pegged currency (other),constitutional monarchy,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Uganda,Africa,Eastern Africa,Yes,No,None,5,savanna,No,Yes,Yes,Moderate (500-1000m),Yes,Tropical,Warm (20-25 C),Yes,No,Yes,Wet (1000-2000 mm),Medium (10M-50M),Moderate (100-300),Niger-Congo,1,Christianity,Mostly rural (< 30%),Young (20-25),"Low income (< $1,000)",agriculture,agricultural products,own free-floating currency,presidential republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Ukraine,Europe,Eastern Europe,No,No,Atlantic,7,grassland,No,No,Yes,Lowland (mean elevation < 200m),No,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Medium (10M-50M),Sparse (25-100),Indo-European,1,Christianity,Urban-leaning (70-85%),Aged (> 42),"Upper-middle ($4,000-$15,000)",agriculture,agricultural products,own free-floating currency,semi-presidential republic,Yes,No,No,No,Yes,No,Yes,No
United Arab Emirates,Asia,Western Asia,No,No,Indian,2,desert,Yes,No,Yes,Lowland (< 200m),No,Arid,Hot (> 25 C),No,No,No,Arid (< 250 mm),Small (1M-10M),Dense (300-1000),Afro-Asiatic,1,Islam,Highly urban (> 85%),Middle (25-35),"Very high (> $40,000)",oil & gas,oil & gas,own pegged currency (other),constitutional monarchy,Yes,No,Yes,No,Yes,No,Yes,Yes
United Kingdom,Europe,Northern Europe,No,Yes,Atlantic,1,temperate forest,No,No,Yes,Low-to-moderate (200-500m),No,Temperate,Mild (10-20 C),No,No,No,Wet (1000-2000 mm),Large (50M-200M),Moderate (100-300),Indo-European,1,Christianity,Highly urban (> 85%),Aged (> 42),"Very high (> $40,000)",services,machinery,own free-floating currency,constitutional monarchy,Yes,Yes,Yes,No,No,Yes,Yes,Yes
United States of America,North America,Northern America,No,No,Atlantic,2,temperate forest,Yes,Yes,Yes,Moderate (500-1000m),Yes,Temperate,Mild (10-20 C),Yes,Yes,No,Moderate (500-1000 mm),Large (50M-200M),Sparse (25-100),Indo-European,1,Christianity,Highly urban (> 85%),Older (35-42),"Very high (> $40,000)",services,machinery,own free-floating currency,presidential republic,Yes,Yes,No,No,No,No,No,Yes
Uruguay,South America,South America,No,No,Atlantic,2,grassland,No,No,No,Lowland (mean elevation < 200m),No,Temperate,Mild (10-20 C),No,No,No,Wet (1000-2000 mm),Small (1M-10M),Very sparse (< 25),Indo-European,0,Christianity,Highly urban (> 85%),Older (35-42),"High ($15,000-$40,000)",agriculture,agricultural products,own free-floating currency,presidential republic,Yes,No,No,No,No,No,Yes,Yes
Uzbekistan,Asia,Central Asia,Yes,No,None,5,desert,Yes,No,No,Moderate (500-1000m),No,Arid,Warm (20-25 C),No,No,No,Arid (< 250 mm),Medium (10M-50M),Moderate (100-300),Turkic,1,Islam,Urban-leaning (70-85%),Middle (25-35),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own free-floating currency,presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Vanuatu,Oceania,Melanesia,No,Yes,Pacific,0,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),Yes,Tropical,Hot (> 25 C),Yes,No,No,Very wet (> 2000 mm),Micro (< 1M),Very sparse (< 25),Indo-European,3,Christianity,Mostly rural (< 30%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own pegged currency (other),parliamentary republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Vatican City,Europe,Southern Europe,Yes,No,None,1,mediterranean shrubland,No,No,No,Lowland (mean elevation < 200m),No,Mediterranean,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Micro (< 1M),Very dense (> 1000),Indo-European,2,Christianity,Highly urban (> 85%),Aged (> 42),"Very high (> $40,000)",services,services,Euro,theocracy,No,No,No,No,Yes,No,Yes,No
Venezuela,South America,South America,No,No,Atlantic,3,tropical rainforest,Yes,Yes,Yes,Low-to-moderate (200-500m),No,Tropical,Hot (> 25 C),Yes,No,No,Wet (1000-2000 mm),Medium (10M-50M),Sparse (25-100),Indo-European,1,Christianity,Highly urban (> 85%),Middle (25-35),"Lower-middle ($1,000-$4,000)",oil & gas,oil & gas,own free-floating currency,presidential republic,Yes,No,No,No,No,No,Yes,Yes
Vietnam,Asia,Southeast Asia,No,No,Pacific,3,tropical rainforest,No,Yes,Yes,Moderate (500-1000m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Large (50M-200M),Dense (300-1000),Austroasiatic,1,Non-religious,Mixed (50-70%),Middle (25-35),"Lower-middle ($1,000-$4,000)",manufacturing,electronics,own free-floating currency,one-party state,Yes,No,No,No,Yes,No,Yes,Yes
Yemen,Asia,Western Asia,No,No,Indian,2,desert,Yes,No,Yes,Moderate (500-1000m),No,Arid,Hot (> 25 C),No,No,Yes,Arid (< 250 mm),Medium (10M-50M),Sparse (25-100),Afro-Asiatic,1,Islam,Mostly rural (< 30%),Young (20-25),"Low income (< $1,000)",agriculture,agricultural products,own free-floating currency,transitional/provisional government,Yes,No,No,No,Yes,No,Yes,Yes
